Robina,F,18,4123085,1956
Rosiland,F,18,4123085,1956
Russell,F,18,4123085,1956
Sebrina,F,18,4123085,1956
Sharlyn,F,18,4123085,1956
Shenna,F,18,4123085,1956
Su,F,18,4123085,1956
Sulema,F,18,4123085,1956
Tabitha,F,18,4123085,1956
Tenna,F,18,4123085,1956
Terie,F,18,4123085,1956
Terressa,F,18,4123085,1956
Terria,F,18,4123085,1956
Thressa,F,18,4123085,1956
Tobie,F,18,4123085,1956
Towana,F,18,4123085,1956
Twilla,F,18,4123085,1956
Tyna,F,18,4123085,1956
Varetta,F,18,4123085,1956
Vena,F,18,4123085,1956
Vergie,F,18,4123085,1956
Vernia,F,18,4123085,1956
Vicci,F,18,4123085,1956
Wannetta,F,18,4123085,1956
Winnifred,F,18,4123085,1956
Zenda,F,18,4123085,1956
Alena,F,17,4123085,1956
Almeta,F,17,4123085,1956
Alvera,F,17,4123085,1956
Alvin,F,17,4123085,1956
Anette,F,17,4123085,1956
Anise,F,17,4123085,1956
Audie,F,17,4123085,1956
Avon,F,17,4123085,1956
Azalea,F,17,4123085,1956
Carita,F,17,4123085,1956
Carolene,F,17,4123085,1956
Caroll,F,17,4123085,1956
Celestina,F,17,4123085,1956
Chantal,F,17,4123085,1956
Christianne,F,17,4123085,1956
Cozette,F,17,4123085,1956
Cyndia,F,17,4123085,1956
Daisey,F,17,4123085,1956
Danice,F,17,4123085,1956
Danne,F,17,4123085,1956
Delight,F,17,4123085,1956
Delsie,F,17,4123085,1956
Deneice,F,17,4123085,1956
Denette,F,17,4123085,1956
Diantha,F,17,4123085,1956
Dodie,F,17,4123085,1956
Dorotha,F,17,4123085,1956
Dwanna,F,17,4123085,1956
Echo,F,17,4123085,1956
Elizbeth,F,17,4123085,1956
Emelda,F,17,4123085,1956
Ethelyn,F,17,4123085,1956
Evetta,F,17,4123085,1956
Felipa,F,17,4123085,1956
Glennda,F,17,4123085,1956
Griselda,F,17,4123085,1956
Howard,F,17,4123085,1956
Jamesetta,F,17,4123085,1956
Jannine,F,17,4123085,1956
Jayna,F,17,4123085,1956
Jaynie,F,17,4123085,1956
Jina,F,17,4123085,1956
Johanne,F,17,4123085,1956
Junita,F,17,4123085,1956
Karilyn,F,17,4123085,1956
Karole,F,17,4123085,1956
Karron,F,17,4123085,1956
Katha,F,17,4123085,1956
Katrin,F,17,4123085,1956
Katrinka,F,17,4123085,1956
Kip,F,17,4123085,1956
Kira,F,17,4123085,1956
Kyna,F,17,4123085,1956
Lafonda,F,17,4123085,1956
Landa,F,17,4123085,1956
Lanetta,F,17,4123085,1956
Lavera,F,17,4123085,1956
Lera,F,17,4123085,1956
Liesa,F,17,4123085,1956
Lindi,F,17,4123085,1956
Loma,F,17,4123085,1956
Loralyn,F,17,4123085,1956
Lorrine,F,17,4123085,1956
Louanna,F,17,4123085,1956
Luetta,F,17,4123085,1956
Lynnetta,F,17,4123085,1956
Magdalen,F,17,4123085,1956
Maida,F,17,4123085,1956
Maree,F,17,4123085,1956
Margaretta,F,17,4123085,1956
Margene,F,17,4123085,1956
Marjie,F,17,4123085,1956
Marlynn,F,17,4123085,1956
Marshall,F,17,4123085,1956
Marvella,F,17,4123085,1956
Micky,F,17,4123085,1956
Monta,F,17,4123085,1956
Natividad,F,17,4123085,1956
Netta,F,17,4123085,1956
Nevada,F,17,4123085,1956
Nori,F,17,4123085,1956
Norita,F,17,4123085,1956
Oneida,F,17,4123085,1956
Parthenia,F,17,4123085,1956
Rachele,F,17,4123085,1956
Rosamond,F,17,4123085,1956
Saralyn,F,17,4123085,1956
Scottie,F,17,4123085,1956
Selene,F,17,4123085,1956
Serita,F,17,4123085,1956
Shane,F,17,4123085,1956
Sharrie,F,17,4123085,1956
Sherl,F,17,4123085,1956
Shirlean,F,17,4123085,1956
Shree,F,17,4123085,1956
Siri,F,17,4123085,1956
Tani,F,17,4123085,1956
Tinamarie,F,17,4123085,1956
Towanna,F,17,4123085,1956
Valetta,F,17,4123085,1956
Waynette,F,17,4123085,1956
Wilhelmenia,F,17,4123085,1956
Wylene,F,17,4123085,1956
Allegra,F,16,4123085,1956
Alverta,F,16,4123085,1956
Ami,F,16,4123085,1956
Ammie,F,16,4123085,1956
Aneta,F,16,4123085,1956
Annalee,F,16,4123085,1956
Annis,F,16,4123085,1956
Antonina,F,16,4123085,1956
Arcelia,F,16,4123085,1956
Aretta,F,16,4123085,1956
Arnetha,F,16,4123085,1956
Brenetta,F,16,4123085,1956
Carletha,F,16,4123085,1956
Carmencita,F,16,4123085,1956
Ceil,F,16,4123085,1956
Christeen,F,16,4123085,1956
Christena,F,16,4123085,1956
Clarine,F,16,4123085,1956
Corene,F,16,4123085,1956
Creola,F,16,4123085,1956
Cynde,F,16,4123085,1956
Dannie,F,16,4123085,1956
Debbora,F,16,4123085,1956
Deeanna,F,16,4123085,1956
Delayne,F,16,4123085,1956
Doloris,F,16,4123085,1956
Duane,F,16,4123085,1956
Earl,F,16,4123085,1956
Eleni,F,16,4123085,1956
Elodia,F,16,4123085,1956
Elvera,F,16,4123085,1956
Emmy,F,16,4123085,1956
Evan,F,16,4123085,1956
Fairy,F,16,4123085,1956
Florenda,F,16,4123085,1956
Floyd,F,16,4123085,1956
Francena,F,16,4123085,1956
Frederick,F,16,4123085,1956
Gini,F,16,4123085,1956
Glenice,F,16,4123085,1956
Hanna,F,16,4123085,1956
Helayne,F,16,4123085,1956
Ilda,F,16,4123085,1956
Inell,F,16,4123085,1956
Jaimie,F,16,4123085,1956
Janeane,F,16,4123085,1956
Janita,F,16,4123085,1956
Janus,F,16,4123085,1956
Jeanett,F,16,4123085,1956
Jenean,F,16,4123085,1956
Jerome,F,16,4123085,1956
Joani,F,16,4123085,1956
Joya,F,16,4123085,1956
Juanda,F,16,4123085,1956
Julaine,F,16,4123085,1956
Julieann,F,16,4123085,1956
Karri,F,16,4123085,1956
Katharina,F,16,4123085,1956
Katharyn,F,16,4123085,1956
Kriss,F,16,4123085,1956
Lacy,F,16,4123085,1956
Lanelle,F,16,4123085,1956
Laquetta,F,16,4123085,1956
Laronda,F,16,4123085,1956
Laveta,F,16,4123085,1956
Lavona,F,16,4123085,1956
Leandra,F,16,4123085,1956
Lenetta,F,16,4123085,1956
Leonia,F,16,4123085,1956
Lindia,F,16,4123085,1956
Louetta,F,16,4123085,1956
Macie,F,16,4123085,1956
Madaline,F,16,4123085,1956
Madelon,F,16,4123085,1956
Manda,F,16,4123085,1956
Manuel,F,16,4123085,1956
Marcelina,F,16,4123085,1956
Mariette,F,16,4123085,1956
Maris,F,16,4123085,1956
Marry,F,16,4123085,1956
Maryjean,F,16,4123085,1956
Marykay,F,16,4123085,1956
Maxie,F,16,4123085,1956
Mellody,F,16,4123085,1956
Michalene,F,16,4123085,1956
Mikki,F,16,4123085,1956
Monalisa,F,16,4123085,1956
Mozelle,F,16,4123085,1956
Mylinda,F,16,4123085,1956
Neena,F,16,4123085,1956
Orpha,F,16,4123085,1956
Ossie,F,16,4123085,1956
Pati,F,16,4123085,1956
Rana,F,16,4123085,1956
Randall,F,16,4123085,1956
Rayne,F,16,4123085,1956
Reesa,F,16,4123085,1956
Reginald,F,16,4123085,1956
Renie,F,16,4123085,1956
Rosalynn,F,16,4123085,1956
Rosellen,F,16,4123085,1956
Sena,F,16,4123085,1956
Shanon,F,16,4123085,1956
Sherma,F,16,4123085,1956
Staci,F,16,4123085,1956
Stasia,F,16,4123085,1956
Subrina,F,16,4123085,1956
Syliva,F,16,4123085,1956
Tedi,F,16,4123085,1956
Tiny,F,16,4123085,1956
Tommi,F,16,4123085,1956
Towanda,F,16,4123085,1956
Van,F,16,4123085,1956
Verdie,F,16,4123085,1956
Vernie,F,16,4123085,1956
Vinita,F,16,4123085,1956
Wendolyn,F,16,4123085,1956
Willow,F,16,4123085,1956
Zenaida,F,16,4123085,1956
Adina,F,15,4123085,1956
Aggie,F,15,4123085,1956
Alexia,F,15,4123085,1956
Alfred,F,15,4123085,1956
Alinda,F,15,4123085,1956
Alvenia,F,15,4123085,1956
Annabel,F,15,4123085,1956
Annett,F,15,4123085,1956
Anthonette,F,15,4123085,1956
Arnell,F,15,4123085,1956
Bernard,F,15,4123085,1956
Bernardine,F,15,4123085,1956
Blinda,F,15,4123085,1956
Bobbe,F,15,4123085,1956
Bonney,F,15,4123085,1956
Ceceilia,F,15,4123085,1956
Cinde,F,15,4123085,1956
Cinderella,F,15,4123085,1956
Cissy,F,15,4123085,1956
Claretta,F,15,4123085,1956
Clemmie,F,15,4123085,1956
Cozetta,F,15,4123085,1956
Crista,F,15,4123085,1956
Danell,F,15,4123085,1956
Danetta,F,15,4123085,1956
Darlyne,F,15,4123085,1956
Darnetta,F,15,4123085,1956
Debbe,F,15,4123085,1956
Deby,F,15,4123085,1956
Deedra,F,15,4123085,1956
Demaris,F,15,4123085,1956
Demetrius,F,15,4123085,1956
Dene,F,15,4123085,1956
Deronda,F,15,4123085,1956
Devonne,F,15,4123085,1956
Donell,F,15,4123085,1956
Donis,F,15,4123085,1956
Dorise,F,15,4123085,1956
Dorthey,F,15,4123085,1956
Drew,F,15,4123085,1956
Earla,F,15,4123085,1956
Edyth,F,15,4123085,1956
Elenora,F,15,4123085,1956
Elvina,F,15,4123085,1956
Emelia,F,15,4123085,1956
Enedelia,F,15,4123085,1956
Ermelinda,F,15,4123085,1956
Estrella,F,15,4123085,1956
Eugena,F,15,4123085,1956
Eveline,F,15,4123085,1956
Gaylen,F,15,4123085,1956
Geni,F,15,4123085,1956
Ginnie,F,15,4123085,1956
Gladis,F,15,4123085,1956
Glendia,F,15,4123085,1956
Glori,F,15,4123085,1956
Guyla,F,15,4123085,1956
Harolyn,F,15,4123085,1956
Harry,F,15,4123085,1956
Iantha,F,15,4123085,1956
Irena,F,15,4123085,1956
Jamee,F,15,4123085,1956
Jammie,F,15,4123085,1956
Janece,F,15,4123085,1956
Janith,F,15,4123085,1956
Jannetta,F,15,4123085,1956
Jannis,F,15,4123085,1956
Jeanelle,F,15,4123085,1956
Jestine,F,15,4123085,1956
Jonda,F,15,4123085,1956
Kala,F,15,4123085,1956
Kasandra,F,15,4123085,1956
Katherene,F,15,4123085,1956
Kimala,F,15,4123085,1956
Koren,F,15,4123085,1956
Lanna,F,15,4123085,1956
Laurena,F,15,4123085,1956
Lewis,F,15,4123085,1956
Lisanne,F,15,4123085,1956
Lorel,F,15,4123085,1956
Lurline,F,15,4123085,1956
Lyle,F,15,4123085,1956
Madelaine,F,15,4123085,1956
Manya,F,15,4123085,1956
Marika,F,15,4123085,1956
Marye,F,15,4123085,1956
Maryland,F,15,4123085,1956
Michella,F,15,4123085,1956
Mignon,F,15,4123085,1956
Milinda,F,15,4123085,1956
Neoma,F,15,4123085,1956
Odell,F,15,4123085,1956
Otilia,F,15,4123085,1956
Paulita,F,15,4123085,1956
Pegeen,F,15,4123085,1956
Ranelle,F,15,4123085,1956
Rayetta,F,15,4123085,1956
Renaye,F,15,4123085,1956
Renne,F,15,4123085,1956
Rilla,F,15,4123085,1956
Roann,F,15,4123085,1956
Roanne,F,15,4123085,1956
Robbye,F,15,4123085,1956
Romonia,F,15,4123085,1956
Ruben,F,15,4123085,1956
Sanda,F,15,4123085,1956
September,F,15,4123085,1956
Shannan,F,15,4123085,1956
Sharlotte,F,15,4123085,1956
Shayne,F,15,4123085,1956
Sheba,F,15,4123085,1956
Shellia,F,15,4123085,1956
Sheria,F,15,4123085,1956
Sherilynn,F,15,4123085,1956
Shery,F,15,4123085,1956
Staria,F,15,4123085,1956
Sundra,F,15,4123085,1956
Suzzette,F,15,4123085,1956
Tandy,F,15,4123085,1956
Tanga,F,15,4123085,1956
Tanis,F,15,4123085,1956
Terriann,F,15,4123085,1956
Theresea,F,15,4123085,1956
Thora,F,15,4123085,1956
Tisha,F,15,4123085,1956
Tomasita,F,15,4123085,1956
Tonna,F,15,4123085,1956
Trenda,F,15,4123085,1956
Tressia,F,15,4123085,1956
Trude,F,15,4123085,1956
Valori,F,15,4123085,1956
Vanna,F,15,4123085,1956
Vincenza,F,15,4123085,1956
Wandra,F,15,4123085,1956
Wanetta,F,15,4123085,1956
Yulanda,F,15,4123085,1956
Aaron,F,14,4123085,1956
Adel,F,14,4123085,1956
Alise,F,14,4123085,1956
Alys,F,14,4123085,1956
Angele,F,14,4123085,1956
Anice,F,14,4123085,1956
Antonietta,F,14,4123085,1956
Anya,F,14,4123085,1956
Arma,F,14,4123085,1956
Arminda,F,14,4123085,1956
Beverely,F,14,4123085,1956
Boni,F,14,4123085,1956
Brook,F,14,4123085,1956
Brooks,F,14,4123085,1956
Candelaria,F,14,4123085,1956
Carron,F,14,4123085,1956
Celesta,F,14,4123085,1956
Charlsie,F,14,4123085,1956
Clorinda,F,14,4123085,1956
Cynda,F,14,4123085,1956
Dania,F,14,4123085,1956
Darlis,F,14,4123085,1956
Deniese,F,14,4123085,1956
Dennie,F,14,4123085,1956
Devona,F,14,4123085,1956
Dewanna,F,14,4123085,1956
Dimple,F,14,4123085,1956
Donalee,F,14,4123085,1956
Dondra,F,14,4123085,1956
Dorena,F,14,4123085,1956
Dorlene,F,14,4123085,1956
Dyanna,F,14,4123085,1956
Elane,F,14,4123085,1956
Eneida,F,14,4123085,1956
Evelia,F,14,4123085,1956
Ferne,F,14,4123085,1956
Flo,F,14,4123085,1956
Florida,F,14,4123085,1956
France,F,14,4123085,1956
Gaila,F,14,4123085,1956
Garnett,F,14,4123085,1956
Genetta,F,14,4123085,1956
Georgena,F,14,4123085,1956
Glennie,F,14,4123085,1956
Greer,F,14,4123085,1956
Harlene,F,14,4123085,1956
Hilarie,F,14,4123085,1956
Inge,F,14,4123085,1956
Inita,F,14,4123085,1956
Jack,F,14,4123085,1956
Jackquline,F,14,4123085,1956
Jacolyn,F,14,4123085,1956
Jamey,F,14,4123085,1956
Jerene,F,14,4123085,1956
Jerre,F,14,4123085,1956
Jinny,F,14,4123085,1956
Jodelle,F,14,4123085,1956
Johannah,F,14,4123085,1956
Jorja,F,14,4123085,1956
Karl,F,14,4123085,1956
Kellee,F,14,4123085,1956
Kerin,F,14,4123085,1956
Kimberely,F,14,4123085,1956
Kolleen,F,14,4123085,1956
Larinda,F,14,4123085,1956
Lavone,F,14,4123085,1956
Leonore,F,14,4123085,1956
Leroy,F,14,4123085,1956
Lester,F,14,4123085,1956
Levon,F,14,4123085,1956
Liisa,F,14,4123085,1956
Loria,F,14,4123085,1956
Lorrene,F,14,4123085,1956
Lovina,F,14,4123085,1956
Luci,F,14,4123085,1956
Madalene,F,14,4123085,1956
Marena,F,14,4123085,1956
Margurite,F,14,4123085,1956
Marily,F,14,4123085,1956
Marka,F,14,4123085,1956
Marlo,F,14,4123085,1956
Marquerite,F,14,4123085,1956
Maryetta,F,14,4123085,1956
Mathilda,F,14,4123085,1956
Maybelle,F,14,4123085,1956
Melissia,F,14,4123085,1956
Melvia,F,14,4123085,1956
Merrily,F,14,4123085,1956
Michelina,F,14,4123085,1956
Micheline,F,14,4123085,1956
Miguel,F,14,4123085,1956
Miki,F,14,4123085,1956
Milagro,F,14,4123085,1956
Mozell,F,14,4123085,1956
Nadean,F,14,4123085,1956
Nelva,F,14,4123085,1956
Nelwyn,F,14,4123085,1956
Nida,F,14,4123085,1956
Norah,F,14,4123085,1956
Ofilia,F,14,4123085,1956
Olinda,F,14,4123085,1956
Pearlean,F,14,4123085,1956
Phylliss,F,14,4123085,1956
Princella,F,14,4123085,1956
Reggie,F,14,4123085,1956
Rheba,F,14,4123085,1956
Rheta,F,14,4123085,1956
Ricarda,F,14,4123085,1956
Robie,F,14,4123085,1956
Romelle,F,14,4123085,1956
Rosary,F,14,4123085,1956
Rosena,F,14,4123085,1956
Roxan,F,14,4123085,1956
Rusty,F,14,4123085,1956
Samella,F,14,4123085,1956
Sammye,F,14,4123085,1956
Sharalyn,F,14,4123085,1956
Shena,F,14,4123085,1956
Sherell,F,14,4123085,1956
Tacy,F,14,4123085,1956
Tam,F,14,4123085,1956
Teddy,F,14,4123085,1956
Tennie,F,14,4123085,1956
Tera,F,14,4123085,1956
Thereasa,F,14,4123085,1956
Trixie,F,14,4123085,1956
Tyrone,F,14,4123085,1956
Vallie,F,14,4123085,1956
Vanette,F,14,4123085,1956
Verena,F,14,4123085,1956
Verlie,F,14,4123085,1956
Veva,F,14,4123085,1956
Victor,F,14,4123085,1956
Violetta,F,14,4123085,1956
Waneta,F,14,4123085,1956
Wendee,F,14,4123085,1956
Willena,F,14,4123085,1956
Yvonnie,F,14,4123085,1956
Acquanetta,F,13,4123085,1956
Adair,F,13,4123085,1956
Adaline,F,13,4123085,1956
Adena,F,13,4123085,1956
Albertina,F,13,4123085,1956
Alica,F,13,4123085,1956
Alisha,F,13,4123085,1956
Amada,F,13,4123085,1956
Andretta,F,13,4123085,1956
Annelle,F,13,4123085,1956
Apryl,F,13,4123085,1956
Aracelia,F,13,4123085,1956
Archie,F,13,4123085,1956
Ardelia,F,13,4123085,1956
Arlena,F,13,4123085,1956
Arlyne,F,13,4123085,1956
Artis,F,13,4123085,1956
Arvella,F,13,4123085,1956
Audrie,F,13,4123085,1956
Aura,F,13,4123085,1956
Azalia,F,13,4123085,1956
Balinda,F,13,4123085,1956
Bevelyn,F,13,4123085,1956
Brandy,F,13,4123085,1956
Caffie,F,13,4123085,1956
Caitlin,F,13,4123085,1956
Camella,F,13,4123085,1956
Capri,F,13,4123085,1956
Carilyn,F,13,4123085,1956
Carina,F,13,4123085,1956
Carlin,F,13,4123085,1956
Carlyon,F,13,4123085,1956
Carmie,F,13,4123085,1956
Carmine,F,13,4123085,1956
Celena,F,13,4123085,1956
Char,F,13,4123085,1956
Charlet,F,13,4123085,1956
Charlita,F,13,4123085,1956
Charlynn,F,13,4123085,1956
Charmayne,F,13,4123085,1956
Charon,F,13,4123085,1956
Cherita,F,13,4123085,1956
Cheryln,F,13,4123085,1956
Cheyrl,F,13,4123085,1956
Chrisann,F,13,4123085,1956
Christen,F,13,4123085,1956
Christian,F,13,4123085,1956
Chrys,F,13,4123085,1956
Chrysa,F,13,4123085,1956
Cindia,F,13,4123085,1956
Cody,F,13,4123085,1956
Coralie,F,13,4123085,1956
Cosette,F,13,4123085,1956
Cynithia,F,13,4123085,1956
Darcelle,F,13,4123085,1956
Deane,F,13,4123085,1956
Deanie,F,13,4123085,1956
Debarah,F,13,4123085,1956
Deloria,F,13,4123085,1956
Desma,F,13,4123085,1956
Dianah,F,13,4123085,1956
Donice,F,13,4123085,1956
Donzella,F,13,4123085,1956
Dorathy,F,13,4123085,1956
Doreene,F,13,4123085,1956
Dorette,F,13,4123085,1956
Dulce,F,13,4123085,1956
Dyana,F,13,4123085,1956
Dyane,F,13,4123085,1956
Edda,F,13,4123085,1956
Emogene,F,13,4123085,1956
Eric,F,13,4123085,1956
Erminia,F,13,4123085,1956
Evelyne,F,13,4123085,1956
Evone,F,13,4123085,1956
Fara,F,13,4123085,1956
Faythe,F,13,4123085,1956
Felita,F,13,4123085,1956
Fleta,F,13,4123085,1956
Florance,F,13,4123085,1956
Franklin,F,13,4123085,1956
Frenchie,F,13,4123085,1956
Gaynel,F,13,4123085,1956
Georganna,F,13,4123085,1956
Geryl,F,13,4123085,1956
Gizelle,F,13,4123085,1956
Gweneth,F,13,4123085,1956
Henretta,F,13,4123085,1956
Ileen,F,13,4123085,1956
Jackalyn,F,13,4123085,1956
Jacqulin,F,13,4123085,1956
Janee,F,13,4123085,1956
Janifer,F,13,4123085,1956
Jeani,F,13,4123085,1956
Jenniffer,F,13,4123085,1956
Jerolyn,F,13,4123085,1956
Jimi,F,13,4123085,1956
Kassandra,F,13,4123085,1956
Kathrin,F,13,4123085,1956
Kimerly,F,13,4123085,1956
Kindra,F,13,4123085,1956
Koreen,F,13,4123085,1956
Ladell,F,13,4123085,1956
Ladena,F,13,4123085,1956
Larhonda,F,13,4123085,1956
Larissa,F,13,4123085,1956
Leon,F,13,4123085,1956
Lloyd,F,13,4123085,1956
Loise,F,13,4123085,1956
Lollie,F,13,4123085,1956
Lolly,F,13,4123085,1956
Lonni,F,13,4123085,1956
Lorayne,F,13,4123085,1956
Lorin,F,13,4123085,1956
Lorriane,F,13,4123085,1956
Lugenia,F,13,4123085,1956
Manette,F,13,4123085,1956
Maralyn,F,13,4123085,1956
Maranda,F,13,4123085,1956
Marca,F,13,4123085,1956
Marcell,F,13,4123085,1956
Marcheta,F,13,4123085,1956
Margy,F,13,4123085,1956
Marica,F,13,4123085,1956
Mariea,F,13,4123085,1956
Marlinda,F,13,4123085,1956
Maury,F,13,4123085,1956
Maybelline,F,13,4123085,1956
Merinda,F,13,4123085,1956
Milton,F,13,4123085,1956
Monette,F,13,4123085,1956
Neomi,F,13,4123085,1956
Nyoka,F,13,4123085,1956
Otis,F,13,4123085,1956
Patrina,F,13,4123085,1956
Perla,F,13,4123085,1956
Priscella,F,13,4123085,1956
Rhetta,F,13,4123085,1956
Rikki,F,13,4123085,1956
Ronell,F,13,4123085,1956
Ronelle,F,13,4123085,1956
Ronita,F,13,4123085,1956
Rozella,F,13,4123085,1956
Ruthy,F,13,4123085,1956
Sallee,F,13,4123085,1956
Sallye,F,13,4123085,1956
Salome,F,13,4123085,1956
Sande,F,13,4123085,1956
Shareen,F,13,4123085,1956
Sherel,F,13,4123085,1956
Sherion,F,13,4123085,1956
Sherra,F,13,4123085,1956
Sherryll,F,13,4123085,1956
Soila,F,13,4123085,1956
Soraida,F,13,4123085,1956
Suzetta,F,13,4123085,1956
Sylvana,F,13,4123085,1956
Theodosia,F,13,4123085,1956
Tijuana,F,13,4123085,1956
Tirrell,F,13,4123085,1956
Tory,F,13,4123085,1956
Trula,F,13,4123085,1956
Vallery,F,13,4123085,1956
Vangie,F,13,4123085,1956
Vona,F,13,4123085,1956
Wendelin,F,13,4123085,1956
Wesley,F,13,4123085,1956
Yevette,F,13,4123085,1956
Yong,F,13,4123085,1956
Zara,F,13,4123085,1956
Alan,F,12,4123085,1956
Aleda,F,12,4123085,1956
Alfreida,F,12,4123085,1956
Allean,F,12,4123085,1956
Alyssa,F,12,4123085,1956
Angeli,F,12,4123085,1956
Annamae,F,12,4123085,1956
Aprile,F,12,4123085,1956
Arliss,F,12,4123085,1956
Astrid,F,12,4123085,1956
Aviva,F,12,4123085,1956
Barbar,F,12,4123085,1956
Barbaraann,F,12,4123085,1956
Barri,F,12,4123085,1956
Barrie,F,12,4123085,1956
Belita,F,12,4123085,1956
Benetta,F,12,4123085,1956
Blondie,F,12,4123085,1956
Bobbette,F,12,4123085,1956
Brigette,F,12,4123085,1956
Caridad,F,12,4123085,1956
Carlota,F,12,4123085,1956
Carmelina,F,12,4123085,1956
Carnell,F,12,4123085,1956
Carolanne,F,12,4123085,1956
Carolynne,F,12,4123085,1956
Caterina,F,12,4123085,1956
Cathlyn,F,12,4123085,1956
Cathyann,F,12,4123085,1956
Cathye,F,12,4123085,1956
Cheryal,F,12,4123085,1956
Cherylyn,F,12,4123085,1956
Claudie,F,12,4123085,1956
Cleopatra,F,12,4123085,1956
Clyde,F,12,4123085,1956
Consuela,F,12,4123085,1956
Corinthia,F,12,4123085,1956
Dalila,F,12,4123085,1956
Darien,F,12,4123085,1956
Darinda,F,12,4123085,1956
Darlinda,F,12,4123085,1956
Debhora,F,12,4123085,1956
Deliah,F,12,4123085,1956
Deloras,F,12,4123085,1956
Deni,F,12,4123085,1956
Denia,F,12,4123085,1956
Diamantina,F,12,4123085,1956
Donnalee,F,12,4123085,1956
Dorianne,F,12,4123085,1956
Drue,F,12,4123085,1956
Dulcie,F,12,4123085,1956
Earlie,F,12,4123085,1956
Earnest,F,12,4123085,1956
Elenor,F,12,4123085,1956
Elin,F,12,4123085,1956
Elvie,F,12,4123085,1956
Emerald,F,12,4123085,1956
Evalina,F,12,4123085,1956
Evelene,F,12,4123085,1956
Flavia,F,12,4123085,1956
Florentina,F,12,4123085,1956
Genelle,F,12,4123085,1956
Genice,F,12,4123085,1956
Georgenia,F,12,4123085,1956
Gisela,F,12,4123085,1956
Glee,F,12,4123085,1956
Grayce,F,12,4123085,1956
Gregoria,F,12,4123085,1956
Gwendalyn,F,12,4123085,1956
Hermina,F,12,4123085,1956
Inetta,F,12,4123085,1956
Ingeborg,F,12,4123085,1956
Jacqui,F,12,4123085,1956
Jamye,F,12,4123085,1956
Janeice,F,12,4123085,1956
Jannell,F,12,4123085,1956
Jearline,F,12,4123085,1956
Jennell,F,12,4123085,1956
Jesus,F,12,4123085,1956
Jilda,F,12,4123085,1956
Jillian,F,12,4123085,1956
Joell,F,12,4123085,1956
Joelyn,F,12,4123085,1956
Jolaine,F,12,4123085,1956
Jorene,F,12,4123085,1956
Josanne,F,12,4123085,1956
Judee,F,12,4123085,1956
Karis,F,12,4123085,1956
Karry,F,12,4123085,1956
Katheen,F,12,4123085,1956
Kathyleen,F,12,4123085,1956
Keli,F,12,4123085,1956
Kelsey,F,12,4123085,1956
Kendal,F,12,4123085,1956
Kenetha,F,12,4123085,1956
Keven,F,12,4123085,1956
Lacey,F,12,4123085,1956
Ladean,F,12,4123085,1956
Laila,F,12,4123085,1956
Larene,F,12,4123085,1956
Lauraine,F,12,4123085,1956
Laurell,F,12,4123085,1956
Lennette,F,12,4123085,1956
Lezli,F,12,4123085,1956
Linde,F,12,4123085,1956
Loreta,F,12,4123085,1956
Loucinda,F,12,4123085,1956
Luane,F,12,4123085,1956
Luellen,F,12,4123085,1956
Lujean,F,12,4123085,1956
Lurene,F,12,4123085,1956
Luretha,F,12,4123085,1956
Luwana,F,12,4123085,1956
Madlyn,F,12,4123085,1956
Mahala,F,12,4123085,1956
Mai,F,12,4123085,1956
Maile,F,12,4123085,1956
Malka,F,12,4123085,1956
Mallie,F,12,4123085,1956
Malvina,F,12,4123085,1956
Margart,F,12,4123085,1956
Margeret,F,12,4123085,1956
Margi,F,12,4123085,1956
Margrett,F,12,4123085,1956
Marilynne,F,12,4123085,1956
Marlana,F,12,4123085,1956
Marshia,F,12,4123085,1956
Maryanna,F,12,4123085,1956
Mauri,F,12,4123085,1956
Mayme,F,12,4123085,1956
Meda,F,12,4123085,1956
Mel,F,12,4123085,1956
Meleah,F,12,4123085,1956
Melina,F,12,4123085,1956
Meridith,F,12,4123085,1956
Merlinda,F,12,4123085,1956
Merline,F,12,4123085,1956
Mike,F,12,4123085,1956
Milly,F,12,4123085,1956
Milta,F,12,4123085,1956
Minta,F,12,4123085,1956
Modesta,F,12,4123085,1956
Monnie,F,12,4123085,1956
Moreen,F,12,4123085,1956
Morgan,F,12,4123085,1956
Naida,F,12,4123085,1956
Nedda,F,12,4123085,1956
Neila,F,12,4123085,1956
Neita,F,12,4123085,1956
Nelia,F,12,4123085,1956
Noma,F,12,4123085,1956
Pama,F,12,4123085,1956
Pecola,F,12,4123085,1956
Pollie,F,12,4123085,1956
Raina,F,12,4123085,1956
Rebeccah,F,12,4123085,1956
Reeda,F,12,4123085,1956
Renell,F,12,4123085,1956
Reola,F,12,4123085,1956
Rexanne,F,12,4123085,1956
Rhondalyn,F,12,4123085,1956
Rogene,F,12,4123085,1956
Rolene,F,12,4123085,1956
Rori,F,12,4123085,1956
Roselie,F,12,4123085,1956
Rosilyn,F,12,4123085,1956
Rudine,F,12,4123085,1956
Saralee,F,12,4123085,1956
Sarina,F,12,4123085,1956
Sharma,F,12,4123085,1956
Sharmon,F,12,4123085,1956
Shaunna,F,12,4123085,1956
Sheilda,F,12,4123085,1956
Shelagh,F,12,4123085,1956
Sheran,F,12,4123085,1956
Sherene,F,12,4123085,1956
Sherley,F,12,4123085,1956
Shireen,F,12,4123085,1956
Shirly,F,12,4123085,1956
Sissy,F,12,4123085,1956
Sonna,F,12,4123085,1956
Sophronia,F,12,4123085,1956
